r1,r2,r3,r4,r5,c1,c2,c3,c4,c5,d1,d2,max_rwt,max_cwt,max_dwt,whr,whc_r/c/d,val_at_idx

[0, 1, 0, 0, 0],[0, 0, 0, 1, 0],[0, 1],1,1,1,diag,2,20
[1, 2, 0, 0, 0],[1, 0, 0, 1, 1],[0, 2],2,1,2,diag,2,14
[2, 2, 1, 0, 0],[1, 1, 1, 1, 1],[1, 3],2,1,3,diag,2,19
[3, 2, 1, 1, 0],[1, 2, 1, 2, 1],[1, 4],3,2,4,diag,2,24
[3, 2, 1, 2, 1],[2, 2, 1, 3, 1],[2, 5],3,3,2,row,1,25
[4, 2, 2, 2, 1],[4, 2, 1, 3, 1],[3, 5],4,4,3,row,1,22
[5, 3, 2, 2, 1],[4, 2, 3, 3, 1],[3, 5],3,4,3,col,1,11
[5, 4, 2, 3, 1],[5, 2, 3, 3, 2],[3, 5],4,3,3,row,2,18
[5, 5, 3, 3, 1],[5, 3, 3, 4, 2],[4, 5],3,4,4,diag,1,1
[5, 5, 4, 3, 2],[5, 3, 3, 4, 4],[5, 5],4,4,0,row,3,16